tweet, sentiment_label
b'$20 worth of\xc2\xa0Bitcoin https://t.co/Q2ZHpcRaHa',Positive
b"RT @CarpeNoctom: Coinbase is probably ready with something but wants to wait for regulatory clarity on tokens\n\nOr, they'll just make the pl\xe2\x80\xa6",Positive
b'\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f Bitcoin Sportsbook pre-live betting odds \xf0\x9f\x93\xa3 (USA-MLS) Toronto FC vs Seattle Sounders: 0-0 - Kick Off \xf0\x9f\x93\xb1Play now\xe2\x80\xa6 https://t.co/538NPA5Jxs',Negative
b'RT @showmethe_btc: Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May\xc2\xa009 https://t.co/AJBv\xe2\x80\xa6',Positive
b'El Fabuloso Mundo de las #Criptomonedas #Bitcoin #Venezuela https://t.co/DdkmY3dTcO https://t.co/Y4O09VfyAD',Negative
b'RT @maxkeiser: As predicted for several years: U.S. Iran policy would push Germany into Russia\xe2\x80\x99s arms. So... US, Israel, and Saudis at now\xe2\x80\xa6',Negative
b'The Bitcoin Blackbook https://t.co/hJVf48Eh1s https://t.co/J0bAWFVwPz',Negative
b'Sex shops are becoming more popular since the 50 Shades of Grey phenomenon but where did it all begin?\xe2\x80\xa6 https://t.co/ZV3O6ixZj0',Positive
b'Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/UJoorikTse',Negative
b'RT @bethereumteam: We\xe2\x80\x99ve been admitted to the #ICOrace. On the 6th of June we\xe2\x80\x99re going to fight in the semifinals in Lugano, #Switzerland!\xe2\x80\xa6',Negative
b'RT @CyberDomain: #Cybersecurity #Hacker Bitcoin Internals: A Technical Guide to Bitcoin  https://t.co/vrAYK9ZhqY https://t.co/hNuUdM78S8',Negative
b'@Carloslopezjone @sofia2258 @Banxico @SCJN @INEMexico @Bitcoin Video explicativo, sobre el neoliberalismo\xe2\x80\xa6 https://t.co/DrcNpFA6zJ',Negative
b'RT @bethereumteam: Happy to present our new BOUNTY GAME! Lets see if you have the guts to win more bounty points! Buy-ins are same for ever\xe2\x80\xa6',Positive
b'Chinese Social App WeChat Suspends Third-party Blockchain App https://t.co/j3Mowjs6q6  #XBT #BTC #Bitcoin',Positive
b'RT @bethereumteam: Almost 1000 bets have been placed in the first hour! \xf0\x9f\x9a\x80\nLess than an hour left to bet on #RealMadrid vs #SevillaCF. \nhttp\xe2\x80\xa6',Positive
b'RT @coinspectator: Fed report says launch of futures crashed bitcoin price #cryptocurrency #ethereum #btc https://t.co/WnGdxyaOXc https://t\xe2\x80\xa6',Negative
b'RT @_Kevin_Pham: So when you say you\'re more "innovative" than Bitcoin.\n\nThe question that goes through my head is how are you improving up\xe2\x80\xa6',Positive
b'RT @AiFinTek: AIRDROP Alert -Crypto project live, Free Tokens,100$ AFTK TOKEN,50$ AFTK Friend Referral, https://t.co/Hy9MZ5jfLS #ICO #block\xe2\x80\xa6',Positive
b'One of my favorite exercises! Ranks right behind "Pushing Away from the Table!" which is #2. U guess what #1 is!!\xe2\x80\xa6 https://t.co/QDC0YKrVTL',Positive
b'#bitcoin #ingl\xc3\xaas One of many to deploy.. via /r/Bitcoin https://t.co/XwJoaOlJC4',Positive
b'@thecryptokidd @BitcoinCom @MateTokay @BTCTN @rogerkver @BTCNewsUpdates @CalvinAyre @Bitcoin_ABC @BitcoinUnlimit\xe2\x80\xa6 https://t.co/Gb69IeKEhG',Negative
b'MoneyToken provides crypto-backed loans, stablecoin MTC and a decentralized exchange service . join the final round\xe2\x80\xa6 https://t.co/TbSsr1ljVa',Negative
b'RT @BitcoinPlusCash: Hey folks, earn up to 50,000 Tokens!\n\nFew steps:\n\n1. Follow this account\n2. Retweet &amp; like ALL our posts\n3. Comment wi\xe2\x80\xa6',Negative
b'RT @bigpumpgroupcom: I will choose 20 random followers to win 0.2 ETH\n\nPlease:\n\n1. FOLLOW\n2. LIKE AND RETWEET \n3. Comment your ETH address\xe2\x80\xa6',Positive
b'RT @Cointelegraph: China\xe2\x80\x99s second-largest BTC mining hardware maker reportedly plans to list a $1 bln IPO on the Hong Kong Stock Exchange\nh\xe2\x80\xa6',Negative
b'RT @AiFinTek: AIRDROP Alert -Crypto project live, Free Tokens,100$ AFTK TOKEN,50$ AFTK Friend Referral, https://t.co/Hy9MZ5jfLS #ICO #block\xe2\x80\xa6',Positive
b'RT @SJosephBurns: Google search is very bearish on Bitcoin: https://t.co/IJRaSHpnyt',Positive
b'Earn bitcoin on a daily basis!\n\n1. Follow @slidecoin \n2. Complete instructions in pinned tweet',Positive
b'WeChat has suspended a third-party blockchain app a day after launch https://t.co/J4enXGNVrg\n\nWeChat has suspended\xe2\x80\xa6 https://t.co/L238pXo2qj',Negative
b'RT @cd_hooks: uh, ben shapiro is now shilling on behalf of a predatory gold company that\'s moving into cryptocurrency: "Bitcoin is the Libe\xe2\x80\xa6',Negative
b'These days,  Bithumb and Upbit of the Korean exchange are competing for listing. Every Thursday, they list one or t\xe2\x80\xa6 https://t.co/mFnqVnt0wF',Negative
b'RT @goldcoincanada: Bullish on crypto. Goldcoin is built for mass adoption. \n#Goldcoin $GLD #Bitcoin #WallStreet #NYSE https://t.co/5Y64M7R\xe2\x80\xa6',Negative
b'RT @CharlieShrem: #Bitcoin gave me the ability to wear flip flops at a @WSJ event. Thank you Satoshi https://t.co/JShGsyHi7Q',Negative
