tweet, sentiment_label
b'RT @showmethe_btc: Bitcoin, Ethereum, Bitcoin Cash, Ripple, Stellar, Litecoin, Cardano, IOTA, EOS: Price Analysis, May\xc2\xa009 https://t.co/AJBv\xe2\x80\xa6',Positive
b'Sex shops are becoming more popular since the 50 Shades of Grey phenomenon but where did it all begin?\xe2\x80\xa6 https://t.co/ZV3O6ixZj0',Positive
b'RT @bethereumteam: We\xe2\x80\x99ve been admitted to the #ICOrace. On the 6th of June we\xe2\x80\x99re going to fight in the semifinals in Lugano, #Switzerland!\xe2\x80\xa6',Negative
b'RT @bethereumteam: Happy to present our new BOUNTY GAME! Lets see if you have the guts to win more bounty points! Buy-ins are same for ever\xe2\x80\xa6',Positive
b'RT @bethereumteam: Almost 1000 bets have been placed in the first hour! \xf0\x9f\x9a\x80\nLess than an hour left to bet on #RealMadrid vs #SevillaCF. \nhttp\xe2\x80\xa6',Positive
b'RT @coinspectator: Fed report says launch of futures crashed bitcoin price #cryptocurrency #ethereum #btc https://t.co/WnGdxyaOXc https://t\xe2\x80\xa6',Negative
b'RT @diwtoken: DIW sponsor of iCoin Summit\xe2\x80\x8a\xe2\x80\x94\xe2\x80\x8aJoin us and learn how Blockchain and Innovating Technologies will be available in all-in-one so\xe2\x80\xa6',Positive
b'RT @AiFinTek: AIRDROP Alert -Crypto project live, Free Tokens,100$ AFTK TOKEN,50$ AFTK Friend Referral, https://t.co/Hy9MZ5jfLS #ICO #block\xe2\x80\xa6',Positive
b'MoneyToken provides crypto-backed loans, stablecoin MTC and a decentralized exchange service . join the final round\xe2\x80\xa6 https://t.co/TbSsr1ljVa',Negative
b'RT @bigpumpgroupcom: I will choose 20 random followers to win 0.2 ETH\n\nPlease:\n\n1. FOLLOW\n2. LIKE AND RETWEET \n3. Comment your ETH address\xe2\x80\xa6',Positive
b'RT @AiFinTek: AIRDROP Alert -Crypto project live, Free Tokens,100$ AFTK TOKEN,50$ AFTK Friend Referral, https://t.co/Hy9MZ5jfLS #ICO #block\xe2\x80\xa6',Positive
b'RT @wavesplatform: Waves Platform To Challenge Ethereum With Its Own Smart Contracts: https://t.co/L6zb5PGtTY\n\n#WavesPlatform #Cryptocurren\xe2\x80\xa6',Positive
b"There's no time to lose! Join #CoinCrowd #Whitelist and level up in the cool  gamification! $1,000,000 bounty in XC\xe2\x80\xa6 https://t.co/eKFkKB7wL8",Positive
b"@gate_io We have also started a 5000 ETH GIVEAWAY For Everyone! Everyone can participate and it's very easy!\n\nJust\xe2\x80\xa6 https://t.co/9eb1BI8jyC",Positive
b'RT @whenhub: Looking to get started with crypto?\n\nWe make it easy, and our app is already live. Buy WHEN Tokens and help build the future o\xe2\x80\xa6',Positive
b'[TR] 10/05/2018 00:59:02 Bitcoin: \xe2\x82\xba39561 Ethereum: \xe2\x82\xba3180  #bitcoin #ethereum #altcoin #coin #blockchain #crypto\xe2\x80\xa6 https://t.co/cDBtjebAOs',Negative
b'[USD] 10/05/2018 00:59:02 Bitcoin: $9324.28 Ethereum: $751.736  #bitcoin #ethereum #altcoin #coin #blockchain\xe2\x80\xa6 https://t.co/nIlT4N9qGf',Negative
b'RT @coinspectator: Dash now live on Paycent mobile app for P2P payments #ethereum #btc #eth https://t.co/fMXAM2KZMl https://t.co/SicdUwm5IL',Positive
b'RT @Veteran4Crypto: How I spent My morning! I have some Ideas for Outdoorsman on the #Blockchain \xf0\x9f\xa4\x94\xf0\x9f\x98\x8e #crypto #cryptocurrency #Bitcoin #NEO #\xe2\x80\xa6',Negative
b'RT @ethereumera: FREE 200 Ethereum Era (ETE)  tokens #Airdrop from @ethereumera .\nSign up and login  on https://t.co/Sg3EQablcr  ,then clic\xe2\x80\xa6',Positive
