tweet, sentiment_label
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x93\xa2Calling all \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf@England fans!\n\n\xf0\x9f\x97\xb3\xef\xb8\x8fVote below to choose the #WorldCup slogan that England will carry on their bus thro\xe2\x80\xa6',Negative
b'RT @Cristiano: Ready for Russia? The FIFA #WorldCup comes to #FIFA18 on May 29th \xf0\x9f\x8e\xae\xf0\x9f\x91\x8c @easportsfifa https://t.co/42DLu8MXWN https://t.co/T1Vb\xe2\x80\xa6',Positive
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b'RT @CBF_Futebol: T\xc3\xa1 chegando, hein? 3\xe2\x83\xa36\xe2\x83\xa3 \xe2\x96\xb6\xf0\x9f\x87\xb7\xf0\x9f\x87\xba #GigantesPorNatureza #Sele\xc3\xa7\xc3\xa3oBrasileira #WorldCup https://t.co/at4CNFvMYQ',Negative
b'The record number of appearances in world cup matches is 25, held by German footballer Lothar Matthaus. #FIFA #WorldCup',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x97\x93 29 June 1986\n\nA day that Diego Maradona will never forget - the day that he captained his side to FIFA #WorldCup glory\xe2\x80\xa6',Negative
b"\xf0\x9f\x87\xb7\xf0\x9f\x87\xba Tournaments don't come much bigger than #WorldCup2018\n\nAll of the best bookie bonuses are available &amp; up to date\xe2\x80\xa6 https://t.co/FLiEWWo1Mn",Positive
b"It will be Brazil Vs Switzerland Live tonight in #AltWorldCup, don't forget to catch the action at\xe2\x80\xa6 https://t.co/uok2f7oTh8",Positive
b'#GE14 done. Now waiting for FIFA #WorldCup',Negative
b'RT @JeffEisenband: At a @FIFAWorldCup info session at @TwitterSports. So far, @Twitter saw the biggest #WorldCup spike when K-pop stars @BT\xe2\x80\xa6',Positive
b'RT @lmpacas: "We know that when they\xe2\x80\x99re watching on television, they\xe2\x80\x99re still going to have Twitter on because Twitter is the only place yo\xe2\x80\xa6',Negative
b'RT @SuperSportTV: Andres Iniesta will end his Barcelona career in style as a league and cup double winner this season. What if he rolls bac\xe2\x80\xa6',Negative
b'RT @rebarob22: Do I qualify for this? Well I thought I\xe2\x80\x99d give it a shot anyways! I\xe2\x80\x99m campaigning for community lead, endorse me! https://t.\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: \xf0\x9f\x87\xb7\xf0\x9f\x87\xbaMOSCOW\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\nPopulation: 12.3 million\nSpartak Stadium capacity: 45,000  \nFour group matches and a Round of 16 clash to be p\xe2\x80\xa6',Negative
b'RT @FIFAWorldCup: 3\xe2\x83\xa36\xe2\x83\xa3 DAYS TO GO! \xf0\x9f\x8f\x86\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\n\xf0\x9f\x8c\x8e\xf0\x9f\x8c\x8d\xf0\x9f\x8c\x8f The 36 referees and 63 assistant referees will represent 46 different countries.\n\nFrom \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7Argenti\xe2\x80\xa6',Negative
b'Oh Yeah https://t.co/sK5VZhWOEQ',Negative
